item_code,description,vatable
TOTAL_111121,"Rice, well milled (Total)",exempt
TOTAL_111122,"Rice, regular milled (Total)",exempt
TOTAL_111123,"Rice, special (Total)",exempt
TOTAL_111125,NFA rice (Total),exempt
TOTAL_111128,"Rice, glutinous (Total)",exempt
TOTAL_111129,"Other rice, n.e.c. (Total)",exempt
TOTAL_111124,"Rice, over milled, broken rice (Total)",exempt
TOTAL_111126,"Rice, undermilled, brown (Total)",exempt
TOTAL_111127,"Rice, undermilled, red (Total)",exempt
TOTAL_111168,"Corn on the cob (includes yellow, white and glutinous) (Total)",exempt
TOTAL_111163,"Whole corn, grain (Total)",exempt
TOTAL_111166,"Corn grits, milled (Total)",exempt
TOTAL_111169,"Other corn, n.e.c. (Total)",exempt
TOTAL_111165,Popcorn (variety) (Total),vatable
TOTAL_111190,"Other Cereals (oats, rye, etc.) (Total)",vatable
TOTAL_111210,"Wheat flour (All-purpose flour, cake flour, etc.) (Total)",vatable
TOTAL_111290,"Other flours of cereals, n.e.c. (Total)",vatable
TOTAL_111220,Rice flour (Total),vatable
TOTAL_111261,Corn starch (Total),vatable
TOTAL_111269,"Corn Flour/Cornmeal, n.e.c. (Total)",vatable
TOTAL_111311,Loaf bread (Total),vatable
TOTAL_111312,Pandesal (Total),vatable
TOTAL_111313,"Toasted bread, croutons,and similar toasted products (Total)",vatable
TOTAL_111314,"Crackers, crispbread (Total)",vatable
TOTAL_111319,"Other breads, n.e.c (Total)",vatable
TOTAL_111392,"Cookies, waffles and wafers, ice cream cones (Total)",vatable
TOTAL_111393,"Cakes, muffins, hopia and pies (excluding pies of fish and meat) (Total)",vatable
TOTAL_111394,Biscuits (Total),vatable
TOTAL_111399,"Other (pizza dough, etc.) (Total)",vatable
TOTAL_111401,"Flakes (cornflakes, puffed rice, oat flakes and similar products) (Total)",vatable
TOTAL_111409,"Other breakfast cereal, n.e.c (Total)",vatable
TOTAL_111501,Ready-mixed noodle soup (instant noodles) (Total),vatable
TOTAL_111502,"Pasta (e.g., macaroni, lasagna,spaghetti and the like) (Total)",vatable
TOTAL_111503,"Noodles (e.g. sotanghon, bihon, lomi, canton, miki, misua, etc.) (Total)",vatable
TOTAL_111509,"Other macaroni and similar pasta products, n.e.c (Total)",vatable
TOTAL_111901,"Native cakes (puto, bibingka, biko, suman, etc. prepared from rice) (Total)",vatable
TOTAL_111903,Junk food cereal-based (Total),vatable
TOTAL_111904,Mixes and doughs for the preparation of bakery products (Total),vatable
TOTAL_111909,"Other cereal and grain mill products, n.e.c. (Total)",vatable
TOTAL_112120,Pig (Total),exempt
TOTAL_112130,"Goat, lamb and sheep (Total)",exempt
TOTAL_112140,Poultry (Total),exempt
TOTAL_112190,Other live animals (Total),exempt
TOTAL_112110,Cow (Total),exempt
TOTAL_112150,Hares and rabbits (Total),exempt
TOTAL_112210,"Beef, carabeef (Total)",exempt
TOTAL_112220,Pork (Total),exempt
TOTAL_112231,Goat (Total),exempt
TOTAL_112241,Chicken (Total),exempt
TOTAL_112290,Other meat (Total),exempt
TOTAL_112232,Lambs and sheep (Total),exempt
TOTAL_112243,Turkeys (Total),exempt
TOTAL_112250,Hares and rabbits (Total),exempt
TOTAL_112260,Horses and other equines (Total),exempt
TOTAL_112242,Ducks (Total),exempt
TOTAL_112310,"Beef, salted, dried or smoked (Total)",exempt
TOTAL_112321,"Salami, ham (Total)",exempt
TOTAL_112322,Bacon (Total),exempt
TOTAL_112390,"Other meat, dried, salted or smoked (Total)",exempt
TOTAL_112400,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (Total)",exempt
TOTAL_112511,Sausages (Total),vatable
TOTAL_112512,Tocino and tapa (Total),vatable
TOTAL_112513,"Hotdog, longaniza, chorizo (Total)",vatable
TOTAL_112514,Embotido (Total),vatable
TOTAL_112521,Corned beef (Total),vatable
TOTAL_112522,"Luncheon meat, canned meatloaf (Total)",vatable
TOTAL_112530,Liver spread (Total),vatable
TOTAL_112590,"Other meat, offal or blood preparations (meat pies, etc.) (Total)",vatable
TOTAL_113111,Tilapia (St. Peterâs fish) (Total),exempt
TOTAL_113161,Galunggong (Round scad) (Total),exempt
TOTAL_113162,Bangus (Milkfish) (Total),exempt
TOTAL_113163,Dilis (Anchovies) (Total),exempt
TOTAL_113164,Hasa-hasa (Short-bodied mackerel) (Total),exempt
TOTAL_113165,Alumahan (Indian mackerel) (Total),exempt
TOTAL_113166,Tanigi or tanigue (Spanish mackerel) (Total),exempt
TOTAL_113191,Lapu-lapu (Total),exempt
TOTAL_113190,Other fish (Total),exempt
TOTAL_113112,Biya (Goby) (Total),exempt
TOTAL_113113,Gurami (Gourami) (Total),exempt
TOTAL_113114,Dalag (Mudfish) (Total),exempt
TOTAL_113115,Hito (Native catfish) (Total),exempt
TOTAL_113116,Carpa or Imelda (Bighead carp) (Total),exempt
TOTAL_113117,Kanduli (Sea catfish) (Total),exempt
TOTAL_113131,Dapa (Righteye flounders) (Total),exempt
TOTAL_113132,Dapang Bilog (Lefteye flounders) (Total),exempt
TOTAL_113133,Kalangkaw or Kalangkao (Indian turbot) (Total),exempt
TOTAL_113134,Sunog (Flathead) (Total),exempt
TOTAL_113195,Isdang loro (Parrotfish) (Total),exempt
TOTAL_113196,Bitilya (Drum) (Total),exempt
TOTAL_113197,Labahita (Epaulette surgeonfish) (Total),exempt
TOTAL_113192,Maya-maya (One-spot snapper) (Total),exempt
TOTAL_113193,Talakitok (Big-eye Trevally) (Total),exempt
TOTAL_113194,Pampano (Silver pompano) (Total),exempt
TOTAL_113198,Malasugi (Blue marlin) (Total),exempt
TOTAL_113121,Salmon (Total),exempt
TOTAL_113150,"Tunas, skipjack or stripe-bellied bonito (Total)",exempt
TOTAL_113291,Bisugo (Threadfin bream) (Total),exempt
TOTAL_113292,Tunsoy/Lapad (Tuyo) (Total),exempt
TOTAL_113293,Salinas (Total),exempt
TOTAL_113294,Tamban (Indian sardine) (Total),exempt
TOTAL_113295,Danggit (Rabbit fish) (Total),exempt
TOTAL_113297,Espada (Largehead hairtail) (Total),exempt
TOTAL_113298,"Dilis (Anchovies), dried, salted, in brine or smoked (Total)",exempt
TOTAL_113290,"Other fish, dried, salted, in brine, smoked (Total)",exempt
TOTAL_113210,"Salmon, dried, salted, in brine or smoked (Total)",exempt
TOTAL_113296,"Bangus (Milkfish), dried, salted, in brine or smoked (Total)",exempt
TOTAL_113300,"Fish preparations (in oil or in sauce, Canned or bottled) (Total)",vatable
TOTAL_113410,Shrimps and prawns (Total),exempt
TOTAL_113421,Crabs (Total),exempt
TOTAL_113422,Lobsters (Total),exempt
TOTAL_113430,"Shells (oysters, mussels, scallops, clams, cockles, arkshells, etc) (Total)",exempt
TOTAL_113440,"Cuttle fish, squid, octopus, etc. (Total)",exempt
TOTAL_113450,"Snails (abalone, snail (kuhol/suso), etc.) (Total)",exempt
TOTAL_113490,"Sea cucumbers, sea urchins, jellyfish, etc. (Total)",exempt
TOTAL_113510,"Shrimps and prawns (alamang, etc.), dried, salted, in brine or smoked  (Total)",exempt
TOTAL_113521,"Crabs, dried, salted, in brine or smoked  (Total)",exempt
TOTAL_113522,"Lobsters, dried, salted, in brine or smoked  (Total)",exempt
TOTAL_113530,"Shells (oysters, mussels, scallops, clams, cockles, arkshells, etc), dried, salted, in brine or smoked  (Total)",exempt
TOTAL_113540,"Cuttle fish, squid, octopus, etc., dried, salted, in brine or smoked  (Total)",exempt
TOTAL_113550,"Snails (abalone, kuhol/suso etc.), dried, salted, in brine or smoked  (Total)",exempt
TOTAL_113590,"Sea cucumbers, sea urchins, jellyfish, etc., dried, salted, in brine or smoked  (Total)",exempt
TOTAL_113600,"Other seafood preparations[shrimps and prawns(prepared or preserved), squid(canned or bottled),etc.] (Total)",vatable
TOTAL_113700,"Livers, roes and offal of fish and of other seafood in all forms (Total)",vatable
TOTAL_114100,Raw and whole milk (Total),vatable
TOTAL_114200,Skimmed milk (Total),vatable
TOTAL_114311,Condensed milk (Total),vatable
TOTAL_114312,Evaporated milk (Total),vatable
TOTAL_114321,Advanced formula adult powdered milk (Total),vatable
TOTAL_114329,"Other powdered milk, n.e.c. (Total)",vatable
TOTAL_114330,Cream (Total),vatable
TOTAL_114390,Other milk (Total),vatable
TOTAL_114410,Coconut milk (Total),vatable
TOTAL_114430,Soy milk (Total),vatable
TOTAL_114490,Other non-animal milk (Total),vatable
TOTAL_114420,Almond milk (Total),vatable
TOTAL_114440,Rice milk (Total),vatable
TOTAL_114450,Oat milk (Total),vatable
TOTAL_114501,"Cheese, fresh (kesong puti; including whey cheese) (Total)",vatable
TOTAL_114503,Grated or powdered cheese (Total),vatable
TOTAL_114504,Processed cheese (not grated or powdered) (Total),vatable
TOTAL_114509,"Other cheese, n.e.c. (Total)",vatable
TOTAL_114505,Blue-veined cheese (Total),vatable
TOTAL_114502,Curd (Total),vatable
TOTAL_114600,Yoghurt and similar products (except frozen yoghurt) (Total),vatable
TOTAL_114700,Milk-based dessert and beverages (Total),vatable
TOTAL_114811,"Eggs, fresh (chicken) (Total)",exempt
TOTAL_114812,"Eggs, fresh (quails) (Total)",exempt
TOTAL_114819,"Other eggs of hen and other birds, in shell, fresh, n.e.c (Total)",exempt
TOTAL_114820,"Eggs of other animals, in shell, fresh (Total)",exempt
TOTAL_114890,"Other egg products (salted eggs, balut, penoy, century eggs) (Total)",vatable
TOTAL_114900,Other dairy products (Total),vatable
TOTAL_115120,Palm oil (Total),vatable
TOTAL_115130,Olive oil (Total),vatable
TOTAL_115160,"Coconut oil (virgin coconut oil,other coconut oil, n.e.c.) (Total)",vatable
TOTAL_115170,Corn oil (Total),vatable
TOTAL_115190,Other edible vegetable oils n.e.c. (Total),vatable
TOTAL_115110,Sunflower-seed and safflower-seed oil (Total),vatable
TOTAL_115140,Soya bean oil (Total),vatable
TOTAL_115150,Peanut oil (Total),vatable
TOTAL_115192,Canola oil (Total),vatable
TOTAL_115200,Butter and other fats and oils derived from milk (Total),vatable
TOTAL_115300,Margarine and similar preparations (Total),vatable
TOTAL_115900,Other animal oils and fats (Total),vatable
TOTAL_116110,Avocados (Total),exempt
TOTAL_116120,Bananas (Total),exempt
TOTAL_116151,Mangoes (Total),exempt
TOTAL_116160,Papayas (Total),exempt
TOTAL_116170,Pineapples (Total),exempt
TOTAL_116180,Coconuts (Total),exempt
TOTAL_116190,Other tropical fruits (Total),exempt
TOTAL_116153,Mangosteens (Total),exempt
TOTAL_116130,Dates (Total),exempt
TOTAL_116140,Figs (Total),exempt
TOTAL_116192,"Durian, fresh (Total)",exempt
TOTAL_116193,"Jackfruit, fresh (Total)",exempt
TOTAL_116194,"Atis, fresh (Total)",exempt
TOTAL_116195,"Chico, fresh (Total)",exempt
TOTAL_116196,"Guyabano, fresh (Total)",exempt
TOTAL_116197,"Star-apple, fresh (Total)",exempt
TOTAL_116198,"Rambutan, fresh (Total)",exempt
TOTAL_116152,Guavas (Total),exempt
TOTAL_116210,Pomelos and grapefruits (Total),exempt
TOTAL_116221,Lemons (Total),exempt
TOTAL_116230,Oranges (Total),exempt
TOTAL_116240,"Tangerines, mandarins and clementines (Total)",exempt
TOTAL_116291,Calamansi (Total),exempt
TOTAL_116290,Other citrus fruits (Total),exempt
TOTAL_116222,Limes (Total),exempt
TOTAL_116310,Apples (Total),exempt
TOTAL_116340,"Cherries, fresh (batangas cherry, aratiles) (Total)",exempt
TOTAL_116390,Other stone fruits and pome fruits (Total),exempt
TOTAL_116320,Pears and quinces (Total),exempt
TOTAL_116330,Apricots (Total),exempt
TOTAL_116350,Peaches and nectarines (Total),exempt
TOTAL_116360,"Plums and sloes, fresh (mabolo, makopa, malay apple) (Total)",exempt
TOTAL_116450,Strawberries (Total),exempt
TOTAL_116490,Other berries (Total),exempt
TOTAL_116430,"Raspberries, fresh (Total)",exempt
TOTAL_116440,"Blackberries, mulberries and loganberries, fresh (Total)",exempt
TOTAL_116460,"Blueberries, fresh (Total)",exempt
TOTAL_116470,"Cranberries, fresh (Total)",exempt
TOTAL_116510,Grapes (Total),exempt
TOTAL_116540,Watermelons (Total),exempt
TOTAL_116590,"Other fruits, fresh, n.e.c. (Total)",exempt
TOTAL_116530,Cantaloupes and other melons (Total),exempt
TOTAL_116550,Persimmons (Total),exempt
TOTAL_116560,Cashew (Total),exempt
TOTAL_116570,Dragon fruit (Total),exempt
TOTAL_116520,Kiwi fruit (Total),exempt
TOTAL_116600,Frozen fruit (Total),vatable
TOTAL_116791,"Pineapples, dried and dehydrated (Total)",vatable
TOTAL_116792,"Mangoes, dried and dehydrated (Total)",vatable
TOTAL_116790,"Other dried fruit, n.e.c. (Total)",vatable
TOTAL_116793,"Bananas, dried and dehydrated (Total)",vatable
TOTAL_116794,"Papayas, dried and dehydrated (Total)",vatable
TOTAL_116795,"Dalanghita, dried and dehydrated (Total)",vatable
TOTAL_116797,"Apple, dried and dehydrated (Total)",vatable
TOTAL_116798,"Durian, dried and dehydrated (Total)",vatable
TOTAL_116720,Prunes (Total),vatable
TOTAL_116710,Raisins (Total),vatable
TOTAL_116820,Cashew nuts (Total),vatable
TOTAL_116880,Peanuts (Total),vatable
TOTAL_116890,Other nuts (Total),vatable
TOTAL_116840,Hazelnuts (Total),vatable
TOTAL_116850,Pistachios (Total),vatable
TOTAL_116860,Walnuts (Total),vatable
TOTAL_116810,Almonds (Total),vatable
TOTAL_116830,Chestnuts (Total),vatable
TOTAL_116910,"Fruit and nuts flour (coconut flour, almond flour and etc.) (Total)",vatable
TOTAL_116920,"Canned fruit (fruit cocktail, peach, pineapple crushed and slice, etc.) (Total)",vatable
TOTAL_116930,Homogenized fruit preparations (Total),vatable
TOTAL_116990,"Other fruit and nuts preparations (pineapple preparation, mango,preparation,nata de coco, etc.) (Total)",vatable
TOTAL_117120,Cabbages (Total),exempt
TOTAL_117191,Ampalaya leaves (Total),exempt
TOTAL_117192,Camote tops (Total),exempt
TOTAL_117193,Kangkong (Total),exempt
TOTAL_117194,Malunggay (Total),exempt
TOTAL_117195,Pechay (Total),exempt
TOTAL_117197,Alugbati (Total),exempt
TOTAL_117198,Saluyot (Total),exempt
TOTAL_117190,"Other leafy or stem vegetables, n.e.c. (Total)",exempt
TOTAL_117110,Asparagus (Total),exempt
TOTAL_117170,Cassava leaves (Total),exempt
TOTAL_117130,Cauliflowers and broccoli (Total),exempt
TOTAL_117140,Lettuce and chicory (Total),exempt
TOTAL_117150,Spinach (Total),exempt
TOTAL_117196,Mustard (Total),exempt
TOTAL_117210,Chilies and peppers (Total),exempt
TOTAL_117230,Eggplants (Total),exempt
TOTAL_117240,Tomatoes (Total),exempt
TOTAL_117251,Squash (Total),exempt
TOTAL_117252,Ampalaya (Total),exempt
TOTAL_117260,Okra (Total),exempt
TOTAL_117290,Other fruit-bearing vegetables (Total),exempt
TOTAL_117220,Cucumbers and gherkins (Total),exempt
TOTAL_117255,Zucchini (Total),exempt
TOTAL_117253,Patola (Total),exempt
TOTAL_117254,Chayote (Total),exempt
TOTAL_117256,Upo (Total),exempt
TOTAL_117310,"Beans (bitsuwelas,patani, etc.) (Total)",exempt
TOTAL_117320,String beans (Total),exempt
TOTAL_117330,"Peas (green peas,paayap,garbanzo, etc.) (Total)",exempt
TOTAL_117360,Munggo beans and sprouts (Total),exempt
TOTAL_117390,Other green leguminous vegetables (Total),exempt
TOTAL_117340,Broad beans and horse bean (Total),exempt
TOTAL_117350,Soya beans (Total),exempt
TOTAL_117411,Carrots (Total),exempt
TOTAL_117420,Garlic (Total),exempt
